id,jdc,parish,age,conviction_date,charge,state_crime_id,charge_clean_full
1,1,CADDO,33,2011-02-10,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
2,1,CADDO,49,2013-09-24,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
3,1,CADDO,65,1992-03-11,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
4,1,CADDO,67,2001-05-11,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
5,1,CADDO,32,2014-06-12,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
6,1,CADDO,72,1993-12-02,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
7,1,CADDO,52,2001-08-28,RS 40:967 Distribution Of A Schedule 2 Drug / RS 14:108.1. Flight From An Officer; Aggravated Flight From An Officer,RS 40:967 / RS 14:108.1.,Distribution Of A Schedule 2 Drug / Flight From An Officer; Aggravated Flight From An Officer
8,1,CADDO,49,2006-11-17,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
9,1,CADDO,34,2011-05-25,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
10,1,CADDO,52,1998-05-26,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
11,1,CADDO,42,2007-02-15,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
12,1,CADDO,34,2011-07-28,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
13,1,CADDO,64,2001-09-16,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
14,1,CADDO,50,2008-04-04,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder / RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1 / RS 14:30.1,Attempt; Second Degree Murder / Second Degree Murder
15,1,CADDO,51,2006-05-12,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
16,1,CADDO,41,2009-11-05,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
17,1,CADDO,53,2011-10-13,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
18,1,CADDO,65,1985-03-04,"RS 14:89.1 Aggravated Crime Against Nature / RS 14.42 Aggravated Rape, First Degree Rape / RS 14:64 Armed Robbery / RS 14:54 Simple Kidnapping",RS 14:89.1 / RS 14.42 / RS 14:64 / RS 14:54,"Aggravated Crime Against Nature / Aggravated Rape, First Degree Rape / Armed Robbery / Simple Kidnapping"
19,1,CADDO,48,1998-08-19,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
20,1,CADDO,50,2003-04-30,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
21,1,CADDO,32,2013-01-31,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
22,1,CADDO,64,1985-04-22,"RS 14:89.1 Aggravated Crime Against Nature / RS 14.42 Aggravated Rape, First Degree Rape / RS 14:64 Armed Robbery",RS 14:89.1 / RS 14.42 / RS 14:64,"Aggravated Crime Against Nature / Aggravated Rape, First Degree Rape / Armed Robbery"
23,1,CADDO,67,1999-07-22,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
24,1,CADDO,70,2013-05-04,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
25,1,CADDO,48,2009-01-09,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder / RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1 / RS 14:30.1,Attempt; Second Degree Murder / Second Degree Murder
26,1,CADDO,29,2017-11-21,RS 14:27 Attempt; RS 14.31 Manslaughter / RS 14:30.1 Second Degree Murder,RS 14:27; RS 14.31 / RS 14:30.1,Attempt; Manslaughter / Second Degree Murder
27,1,CADDO,68,2011-03-23,RS 40:967 Distribution Of A Schedule 2 Drug,RS 40:967,Distribution Of A Schedule 2 Drug
28,1,CADDO,34,2009-08-28,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
29,1,CADDO,43,2001-05-10,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
30,1,CADDO,46,1999-03-09,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
31,1,CADDO,32,2013-01-31,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
32,1,CADDO,50,1999-06-23,RS 14:64 Armed Robbery / RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:64 / RS 14:27; RS 14:30.1,Armed Robbery / Attempt; Second Degree Murder
33,1,CADDO,63,1986-07-01,"RS 14:34 Aggravated Battery / RS 14.42 Aggravated Rape, First Degree Rape",RS 14:34 / RS 14.42,"Aggravated Battery / Aggravated Rape, First Degree Rape"
34,1,CADDO,50,1999-06-23,RS 14:64 Armed Robbery / RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:64 / RS 14:27; RS 14:30.1,Armed Robbery / Attempt; Second Degree Murder
35,1,CADDO,45,2012-12-05,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
36,1,CADDO,47,2005-01-13,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
37,1,CADDO,34,2016-01-28,"RS 14.42 Aggravated Rape, First Degree Rape / RS 14:81.2 Molestation Of A Juvenile",RS 14.42 / RS 14:81.2,"Aggravated Rape, First Degree Rape / Molestation Of A Juvenile"
38,1,CADDO,52,2013-01-16,RS 14:108.1. Flight From An Officer; Aggravated Flight From An Officer,RS 14:108.1.,Flight From An Officer; Aggravated Flight From An Officer
39,1,CADDO,53,2003-04-04,RS 14.31 Manslaughter,RS 14.31,Manslaughter
40,1,CADDO,40,2017-05-04,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
41,1,CADDO,59,1996-03-01,RS 14:64.1 First Degree Robbery,RS 14:64.1,First Degree Robbery
42,1,CADDO,67,1991-12-07,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
43,1,CADDO,53,1992-02-03,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
44,1,CADDO,36,2010-02-16,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
45,1,CADDO,65,1991-05-02,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
46,1,CADDO,48,2008-10-15,RS 14:64.4 Second Degree Robbery,RS 14:64.4,Second Degree Robbery
47,1,CADDO,64,2014-09-23,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
48,1,CADDO,54,2006-10-20,"RS 14:42.1 Second Degree Rape, Forcible Rape",RS 14:42.1,"Second Degree Rape, Forcible Rape"
49,1,CADDO,47,1998-06-18,RS 14:64 Armed Robbery / RS 14:44.1 Second Degree Kidnapping,RS 14:64 / RS 14:44.1,Armed Robbery / Second Degree Kidnapping
50,1,CADDO,60,2005-06-24,RS 14:60 Aggravated Burglary,RS 14:60,Aggravated Burglary
51,1,CADDO,33,2015-02-10,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
52,1,CADDO,41,2014-10-21,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
53,1,CADDO,45,2010-06-17,RS 14:95.1 Felon In Possession Of A Firearm / RS 14:94 Illegal Use Of Weapons During A Crime Of Violence,RS 14:95.1 / RS 14:94,Felon In Possession Of A Firearm / Illegal Use Of Weapons During A Crime Of Violence
54,1,CADDO,74,1999-01-12,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
55,1,CADDO,62,2013-05-07,RS 14:64 Armed Robbery / RS 14:44.1 Second Degree Kidnapping,RS 14:64 / RS 14:44.1,Armed Robbery / Second Degree Kidnapping
56,1,CADDO,41,2014-05-17,RS 14:27 Attempt; RS 14:60 Aggravated Burglary / RS 14:27 Attempt; RS 14:30.1 Second Degree Murder / RS 14:44.1 Second Degree Kidnapping,RS 14:27; RS 14:60 / RS 14:27; RS 14:30.1 / RS 14:44.1,Attempt; Aggravated Burglary / Attempt; Second Degree Murder / Second Degree Kidnapping
57,1,CADDO,49,2009-09-18,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
58,1,CADDO,47,1999-03-25,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
59,1,CADDO,44,2009-03-19,RS 14.31 Manslaughter,RS 14.31,Manslaughter
60,1,CADDO,45,2004-09-29,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
61,1,CADDO,47,2014-04-10,RS 14.27 Attempt; RS 14:30 First Degree / RS 14:44.1 Second Degree Kidnapping,RS 14.27; RS 14:30 / RS 14:44.1,Attempt; First Degree / Second Degree Kidnapping
62,1,CADDO,67,2017-08-23,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
63,1,CADDO,57,2005-12-01,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
64,1,CADDO,59,2011-06-23,RS 14:44.1 Second Degree Kidnapping,RS 14:44.1,Second Degree Kidnapping
65,1,CADDO,47,2003-04-24,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
